"store", "websites", "attribute_set", "type", "category_ids", "sku", "has_options", "price", "cost", "weight", "special_price", "msrp", "name", "meta_title", "meta_description", "image", "small_image", "url_key", "thumbnail", "model", "gift_message_available", "url_path", "custom_design", "options_container", "page_layout", "country_of_manufacture", "msrp_enabled", "msrp_display_actual_price_type", "voltage", "torque", "rpm", "chuck_settings", "chuck_size", "tool_lenght", "shipping_weight", "battery", "description", "meta_keyword", "short_description", "custom_layout_update", "manufacturer", "color", "status", "tax_class_id", "visibility", "enable_googlecheckout", "is_recurring", "is_imported", "special_from_date", "special_to_date", "custom_design_from", "custom_design_to", "news_from_date", "news_to_date", "qty", "min_qty", "use_config_min_qty", "is_qty_decimal", "backorders", "use_config_backorders", "min_sale_qty", "use_config_min_sale_qty", "max_sale_qty", "use_config_max_sale_qty", "is_in_stock", "low_stock_date", "notify_stock_qty", "use_config_notify_stock_qty", "manage_stock", "use_config_manage_stock", "stock_status_changed_auto", "use_config_qty_increments", "qty_increments", "use_config_enable_qty_inc", "enable_qty_increments", "stock_status_changed_automatically", "use_config_enable_qty_increments", "product_name", "store_id", "product_type_id", "product_status_changed", "product_changed_websites"
"admin", "base", "Cordless Tool", "simple", "150", "MK1902", "0", "139", "", "1.0000", "", "", "Makita PLANER 3-1/4" 1902", "", "", "", "", "default-url-key", "", "DEFAULT_MODEL", "No", "default-url-key.html", "", "Block after Info Column", "No layout updates", " ", "Use config", "Use config", "", "", "", "", "", "", "", "", "PLANER 3-1/4" MK1902", "", "DEFAULT_SHORT_DESCRIPTION", "", "", "", "Disabled", "default", "Not Visible Individually", "Yes", "No", "No", "", "", "", "", "", "", "100.0000", "0.0000", "1", "0", "0", "1", "1.0000", "1", "0.0000", "1", "1", "", "0.0000", "1", "0", "1", "0", "1", "0.0000", "1", "0", "0", "1", "Default Name", "0", "simple", "", ""
"admin", "base", "Cordless Tool", "simple", "150", "MK2107F", "0", "339", "", "1.0000", "", "", "Makita PORTABLE BANDSAW KIT VS 2107F", "", "", "", "", "default-url-key", "", "DEFAULT_MODEL", "No", "default-url-key.html", "", "Block after Info Column", "No layout updates", " ", "Use config", "Use config", "", "", "", "", "", "", "", "", "PORTABLE BANDSAW KIT VS MK2107F", "", "DEFAULT_SHORT_DESCRIPTION", "", "", "", "Disabled", "default", "Not Visible Individually", "Yes", "No", "No", "", "", "", "", "", "", "100.0000", "0.0000", "1", "0", "0", "1", "1.0000", "1", "0.0000", "1", "1", "", "0.0000", "1", "0", "1", "0", "1", "0.0000", "1", "0", "0", "1", "Default Name", "0", "simple", "", ""
"admin", "base", "Cordless Tool", "simple", "150", "MK2107FK", "0", "349", "", "1.0000", "", "", "Makita PORTABLE BANDSAW W/CASE 2107F", "", "", "", "", "default-url-key", "", "DEFAULT_MODEL", "No", "default-url-key.html", "", "Block after Info Column", "No layout updates", " ", "Use config", "Use config", "", "", "", "", "", "", "", "", "PORTABLE BANDSAW W/CASE MK2107FK", "", "DEFAULT_SHORT_DESCRIPTION", "", "", "", "Disabled", "default", "Not Visible Individually", "Yes", "No", "No", "", "", "", "", "", "", "100.0000", "0.0000", "1", "0", "0", "1", "1.0000", "1", "0.0000", "1", "1", "", "0.0000", "1", "0", "1", "0", "1", "0.0000", "1", "0", "0", "1", "Default Name", "0", "simple", "", ""
"admin", "base", "Cordless Tool", "simple", "150", "MK2107FK", "0", "349", "", "1.0000", "", "", "Makita PORTABLE BANDSAW W/CASE 2107FK", "", "", "", "", "default-url-key", "", "DEFAULT_MODEL", "No", "default-url-key.html", "", "Block after Info Column", "No layout updates", " ", "Use config", "Use config", "", "", "", "", "", "", "", "", "PORTABLE BANDSAW W/CASE MK2107FK", "", "DEFAULT_SHORT_DESCRIPTION", "", "", "", "Disabled", "default", "Not Visible Individually", "Yes", "No", "No", "", "", "", "", "", "", "100.0000", "0.0000", "1", "0", "0", "1", "1.0000", "1", "0.0000", "1", "1", "", "0.0000", "1", "0", "1", "0", "1", "0.0000", "1", "0", "0", "1", "Default Name", "0", "simple", "", ""
"admin", "base", "Cordless Tool", "simple", "150", "MK3709", "0", "109", "", "1.0000", "", "", "Makita LAMINATE TRIMMER 3709", "", "", "", "", "default-url-key", "", "DEFAULT_MODEL", "No", "default-url-key.html", "", "Block after Info Column", "No layout updates", " ", "Use config", "Use config", "", "", "", "", "", "", "", "", "LAMINATE TRIMMER MK3709", "", "DEFAULT_SHORT_DESCRIPTION", "", "", "", "Disabled", "default", "Not Visible Individually", "Yes", "No", "No", "", "", "", "", "", "", "100.0000", "0.0000", "1", "0", "0", "1", "1.0000", "1", "0.0000", "1", "1", "", "0.0000", "1", "0", "1", "0", "1", "0.0000", "1", "0", "0", "1", "Default Name", "0", "simple", "", ""
"admin", "base", "Cordless Tool", "simple", "150", "MK3901", "0", "229", "", "1.0000", "", "", "Makita PLATE JOINTER 3901", "", "", "", "", "default-url-key", "", "DEFAULT_MODEL", "No", "default-url-key.html", "", "Block after Info Column", "No layout updates", " ", "Use config", "Use config", "", "", "", "", "", "", "", "", "PLATE JOINTER MK3901", "", "DEFAULT_SHORT_DESCRIPTION", "", "", "", "Disabled", "default", "Not Visible Individually", "Yes", "No", "No", "", "", "", "", "", "", "100.0000", "0.0000", "1", "0", "0", "1", "1.0000", "1", "0.0000", "1", "1", "", "0.0000", "1", "0", "1", "0", "1", "0.0000", "1", "0", "0", "1", "Default Name", "0", "simple", "", ""
"admin", "base", "Cordless Tool", "simple", "150", "MK4100NH", "0", "129", "", "1.0000", "", "", "Makita 4-3/8" MASONRY SAW 12AMP 4100NH", "", "", "", "", "default-url-key", "", "DEFAULT_MODEL", "No", "default-url-key.html", "", "Block after Info Column", "No layout updates", " ", "Use config", "Use config", "", "", "", "", "", "", "", "", "4-3/8" MASONRY SAW 12AMP MK4100NH", "", "DEFAULT_SHORT_DESCRIPTION", "", "", "", "Disabled", "default", "Not Visible Individually", "Yes", "No", "No", "", "", "", "", "", "", "100.0000", "0.0000", "1", "0", "0", "1", "1.0000", "1", "0.0000", "1", "1", "", "0.0000", "1", "0", "1", "0", "1", "0.0000", "1", "0", "0", "1", "Default Name", "0", "simple", "", ""
"admin", "base", "Cordless Tool", "simple", "150", "MK4101RH", "0", "329", "", "1.0000", "", "", "Makita CIRCULAR SAW 5" 4101RH", "", "", "", "", "default-url-key", "", "DEFAULT_MODEL", "No", "default-url-key.html", "", "Block after Info Column", "No layout updates", " ", "Use config", "Use config", "", "", "", "", "", "", "", "", "CIRCULAR SAW 5" MK4101RH", "", "DEFAULT_SHORT_DESCRIPTION", "", "", "", "Disabled", "default", "Not Visible Individually", "Yes", "No", "No", "", "", "", "", "", "", "100.0000", "0.0000", "1", "0", "0", "1", "1.0000", "1", "0.0000", "1", "1", "", "0.0000", "1", "0", "1", "0", "1", "0.0000", "1", "0", "0", "1", "Default Name", "0", "simple", "", ""
"admin", "base", "Cordless Tool", "simple", "150", "MK4200NH", "0", "189", "", "1.0000", "", "", "Makita CIRCULAR SAW 4-3/8" 4200NH", "", "", "", "", "default-url-key", "", "DEFAULT_MODEL", "No", "default-url-key.html", "", "Block after Info Column", "No layout updates", " ", "Use config", "Use config", "", "", "", "", "", "", "", "", "CIRCULAR SAW 4-3/8" MK4200NH", "", "DEFAULT_SHORT_DESCRIPTION", "", "", "", "Disabled", "default", "Not Visible Individually", "Yes", "No", "No", "", "", "", "", "", "", "100.0000", "0.0000", "1", "0", "0", "1", "1.0000", "1", "0.0000", "1", "1", "", "0.0000", "1", "0", "1", "0", "1", "0.0000", "1", "0", "0", "1", "Default Name", "0", "simple", "", ""
"admin", "base", "Cordless Tool", "simple", "150", "MK5005BA", "0", "259", "", "1.0000", "", "", "Makita CIRCULAR SAW 5-1/2" 5005BA", "", "", "", "", "default-url-key", "", "DEFAULT_MODEL", "No", "default-url-key.html", "", "Block after Info Column", "No layout updates", " ", "Use config", "Use config", "", "", "", "", "", "", "", "", "CIRCULAR SAW 5-1/2" MK5005BA", "", "DEFAULT_SHORT_DESCRIPTION", "", "", "", "Disabled", "default", "Not Visible Individually", "Yes", "No", "No", "", "", "", "", "", "", "100.0000", "0.0000", "1", "0", "0", "1", "1.0000", "1", "0.0000", "1", "1", "", "0.0000", "1", "0", "1", "0", "1", "0.0000", "1", "0", "0", "1", "Default Name", "0", "simple", "", ""
"admin", "base", "Cordless Tool", "simple", "150", "MK5007MG", "0", "149", "", "1.0000", "", "", "Makita CIRCULAR SAW - 7-1/4" 5007MG", "", "", "", "", "default-url-key", "", "DEFAULT_MODEL", "No", "default-url-key.html", "", "Block after Info Column", "No layout updates", " ", "Use config", "Use config", "", "", "", "", "", "", "", "", "CIRCULAR SAW - 7-1/4" MK5007MG", "", "DEFAULT_SHORT_DESCRIPTION", "", "", "", "Disabled", "default", "Not Visible Individually", "Yes", "No", "No", "", "", "", "", "", "", "100.0000", "0.0000", "1", "0", "0", "1", "1.0000", "1", "0.0000", "1", "1", "", "0.0000", "1", "0", "1", "0", "1", "0.0000", "1", "0", "0", "1", "Default Name", "0", "simple", "", ""
"admin", "base", "Cordless Tool", "simple", "150", "MK5377MG", "0", "179", "", "1.0000", "", "", "Makita CIRCULAR SAW 7-1/4" 5377MG", "", "", "", "", "default-url-key", "", "DEFAULT_MODEL", "No", "default-url-key.html", "", "Block after Info Column", "No layout updates", " ", "Use config", "Use config", "", "", "", "", "", "", "", "", "CIRCULAR SAW 7-1/4" MK5377MG", "", "DEFAULT_SHORT_DESCRIPTION", "", "", "", "Disabled", "default", "Not Visible Individually", "Yes", "No", "No", "", "", "", "", "", "", "100.0000", "0.0000", "1", "0", "0", "1", "1.0000", "1", "0.0000", "1", "1", "", "0.0000", "1", "0", "1", "0", "1", "0.0000", "1", "0", "0", "1", "Default Name", "0", "simple", "", ""
"admin", "base", "Cordless Tool", "simple", "150", "MK5740NB", "0", "99.39", "", "1.0000", "", "", "Makita CIRCULAR SAW 7-1/4" 5740NB", "", "", "", "", "default-url-key", "", "DEFAULT_MODEL", "No", "default-url-key.html", "", "Block after Info Column", "No layout updates", " ", "Use config", "Use config", "", "", "", "", "", "", "", "", "CIRCULAR SAW 7-1/4" MK5740NB", "", "DEFAULT_SHORT_DESCRIPTION", "", "", "", "Disabled", "default", "Not Visible Individually", "Yes", "No", "No", "", "", "", "", "", "", "100.0000", "0.0000", "1", "0", "0", "1", "1.0000", "1", "0.0000", "1", "1", "", "0.0000", "1", "0", "1", "0", "1", "0.0000", "1", "0", "0", "1", "Default Name", "0", "simple", "", ""
"admin", "base", "Cordless Tool", "simple", "150", "MK6407", "0", "79.39", "", "1.0000", "", "", "Makita DRILL MOTOR 3/8" 6407", "", "", "", "", "default-url-key", "", "DEFAULT_MODEL", "No", "default-url-key.html", "", "Block after Info Column", "No layout updates", " ", "Use config", "Use config", "", "", "", "", "", "", "", "", "DRILL MOTOR 3/8" MK6407", "", "DEFAULT_SHORT_DESCRIPTION", "", "", "", "Disabled", "default", "Not Visible Individually", "Yes", "No", "No", "", "", "", "", "", "", "100.0000", "0.0000", "1", "0", "0", "1", "1.0000", "1", "0.0000", "1", "1", "", "0.0000", "1", "0", "1", "0", "1", "0.0000", "1", "0", "0", "1", "Default Name", "0", "simple", "", ""
"admin", "base", "Cordless Tool", "simple", "150", "MK6408", "0", "79.39", "", "1.0000", "", "", "Makita DRILL MOTOR 3/8" KEYLESS 6408", "", "", "", "", "default-url-key", "", "DEFAULT_MODEL", "No", "default-url-key.html", "", "Block after Info Column", "No layout updates", " ", "Use config", "Use config", "", "", "", "", "", "", "", "", "DRILL MOTOR 3/8" KEYLESS MK6408", "", "DEFAULT_SHORT_DESCRIPTION", "", "", "", "Disabled", "default", "Not Visible Individually", "Yes", "No", "No", "", "", "", "", "", "", "100.0000", "0.0000", "1", "0", "0", "1", "1.0000", "1", "0.0000", "1", "1", "", "0.0000", "1", "0", "1", "0", "1", "0.0000", "1", "0", "0", "1", "Default Name", "0", "simple", "", ""
"admin", "base", "Cordless Tool", "simple", "150", "MK6827", "0", "174", "", "1.0000", "", "", "Makita SCREWDRIVER - SIX STAGE 6827", "", "", "", "", "default-url-key", "", "DEFAULT_MODEL", "No", "default-url-key.html", "", "Block after Info Column", "No layout updates", " ", "Use config", "Use config", "", "", "", "", "", "", "", "", "SCREWDRIVER - SIX STAGE MK6827", "", "DEFAULT_SHORT_DESCRIPTION", "", "", "", "Disabled", "default", "Not Visible Individually", "Yes", "No", "No", "", "", "", "", "", "", "100.0000", "0.0000", "1", "0", "0", "1", "1.0000", "1", "0.0000", "1", "1", "", "0.0000", "1", "0", "1", "0", "1", "0.0000", "1", "0", "0", "1", "Default Name", "0", "simple", "", ""
"admin", "base", "Cordless Tool", "simple", "150", "MK6906", "0", "569", "", "1.0000", "", "", "Makita IMPACT WRENCH 3/4" 6906", "", "", "", "", "default-url-key", "", "DEFAULT_MODEL", "No", "default-url-key.html", "", "Block after Info Column", "No layout updates", " ", "Use config", "Use config", "", "", "", "", "", "", "", "", "IMPACT WRENCH 3/4" MK6906", "", "DEFAULT_SHORT_DESCRIPTION", "", "", "", "Disabled", "default", "Not Visible Individually", "Yes", "No", "No", "", "", "", "", "", "", "100.0000", "0.0000", "1", "0", "0", "1", "1.0000", "1", "0.0000", "1", "1", "", "0.0000", "1", "0", "1", "0", "1", "0.0000", "1", "0", "0", "1", "Default Name", "0", "simple", "", ""
"admin", "base", "Cordless Tool", "simple", "150", "MK6952", "0", "209", "", "1.0000", "", "", "Makita IMPACT DRIVER HEX SHANK 6952", "", "", "", "", "default-url-key", "", "DEFAULT_MODEL", "No", "default-url-key.html", "", "Block after Info Column", "No layout updates", " ", "Use config", "Use config", "", "", "", "", "", "", "", "", "IMPACT DRIVER HEX SHANK MK6952", "", "DEFAULT_SHORT_DESCRIPTION", "", "", "", "Disabled", "default", "Not Visible Individually", "Yes", "No", "No", "", "", "", "", "", "", "100.0000", "0.0000", "1", "0", "0", "1", "1.0000", "1", "0.0000", "1", "1", "", "0.0000", "1", "0", "1", "0", "1", "0.0000", "1", "0", "0", "1", "Default Name", "0", "simple", "", ""
"admin", "base", "Cordless Tool", "simple", "150", "MK6953", "0", "209", "", "1.0000", "", "", "Makita IMPACT WRENCH 1/2" 6953", "", "", "", "", "default-url-key", "", "DEFAULT_MODEL", "No", "default-url-key.html", "", "Block after Info Column", "No layout updates", " ", "Use config", "Use config", "", "", "", "", "", "", "", "", "IMPACT WRENCH 1/2" MK6953", "", "DEFAULT_SHORT_DESCRIPTION", "", "", "", "Disabled", "default", "Not Visible Individually", "Yes", "No", "No", "", "", "", "", "", "", "100.0000", "0.0000", "1", "0", "0", "1", "1.0000", "1", "0.0000", "1", "1", "", "0.0000", "1", "0", "1", "0", "1", "0.0000", "1", "0", "0", "1", "Default Name", "0", "simple", "", ""
"admin", "base", "Cordless Tool", "simple", "150", "MK9005B", "0", "139", "", "1.0000", "", "", "Makita GRINDER 5" W/GUARD 9005B", "", "", "", "", "default-url-key", "", "DEFAULT_MODEL", "No", "default-url-key.html", "", "Block after Info Column", "No layout updates", " ", "Use config", "Use config", "", "", "", "", "", "", "", "", "GRINDER 5" W/GUARD MK9005B", "", "DEFAULT_SHORT_DESCRIPTION", "", "", "", "Disabled", "default", "Not Visible Individually", "Yes", "No", "No", "", "", "", "", "", "", "100.0000", "0.0000", "1", "0", "0", "1", "1.0000", "1", "0.0000", "1", "1", "", "0.0000", "1", "0", "1", "0", "1", "0.0000", "1", "0", "0", "1", "Default Name", "0", "simple", "", ""
"admin", "base", "Cordless Tool", "simple", "150", "MK9031", "0", "249", "", "1.0000", "", "", "Makita BELT SANDER 1-1/8X21" 9031", "", "", "", "", "default-url-key", "", "DEFAULT_MODEL", "No", "default-url-key.html", "", "Block after Info Column", "No layout updates", " ", "Use config", "Use config", "", "", "", "", "", "", "", "", "BELT SANDER 1-1/8X21" MK9031", "", "DEFAULT_SHORT_DESCRIPTION", "", "", "", "Disabled", "default", "Not Visible Individually", "Yes", "No", "No", "", "", "", "", "", "", "100.0000", "0.0000", "1", "0", "0", "1", "1.0000", "1", "0.0000", "1", "1", "", "0.0000", "1", "0", "1", "0", "1", "0.0000", "1", "0", "0", "1", "Default Name", "0", "simple", "", ""
"admin", "base", "Cordless Tool", "simple", "150", "MK9032", "0", "249", "", "1.0000", "", "", "Makita BELT SANDER 3/8X21" 9032", "", "", "", "", "default-url-key", "", "DEFAULT_MODEL", "No", "default-url-key.html", "", "Block after Info Column", "No layout updates", " ", "Use config", "Use config", "", "", "", "", "", "", "", "", "BELT SANDER 3/8X21" MK9032", "", "DEFAULT_SHORT_DESCRIPTION", "", "", "", "Disabled", "default", "Not Visible Individually", "Yes", "No", "No", "", "", "", "", "", "", "100.0000", "0.0000", "1", "0", "0", "1", "1.0000", "1", "0.0000", "1", "1", "", "0.0000", "1", "0", "1", "0", "1", "0.0000", "1", "0", "0", "1", "Default Name", "0", "simple", "", ""
"admin", "base", "Cordless Tool", "simple", "150", "MK9227C", "0", "199", "", "1.0000", "", "", "Makita SANDER/POLISHER EVS 9227C", "", "", "", "", "default-url-key", "", "DEFAULT_MODEL", "No", "default-url-key.html", "", "Block after Info Column", "No layout updates", " ", "Use config", "Use config", "", "", "", "", "", "", "", "", "SANDER/POLISHER EVS MK9227C", "", "DEFAULT_SHORT_DESCRIPTION", "", "", "", "Disabled", "default", "Not Visible Individually", "Yes", "No", "No", "", "", "", "", "", "", "100.0000", "0.0000", "1", "0", "0", "1", "1.0000", "1", "0.0000", "1", "1", "", "0.0000", "1", "0", "1", "0", "1", "0.0000", "1", "0", "0", "1", "Default Name", "0", "simple", "", ""
"admin", "base", "Cordless Tool", "simple", "150", "MK9404", "0", "249", "", "1.0000", "", "", "Makita BELT SANDER 4 X 24" 9404", "", "", "", "", "default-url-key", "", "DEFAULT_MODEL", "No", "default-url-key.html", "", "Block after Info Column", "No layout updates", " ", "Use config", "Use config", "", "", "", "", "", "", "", "", "BELT SANDER 4 X 24" MK9404", "", "DEFAULT_SHORT_DESCRIPTION", "", "", "", "Disabled", "default", "Not Visible Individually", "Yes", "No", "No", "", "", "", "", "", "", "100.0000", "0.0000", "1", "0", "0", "1", "1.0000", "1", "0.0000", "1", "1", "", "0.0000", "1", "0", "1", "0", "1", "0.0000", "1", "0", "0", "1", "Default Name", "0", "simple", "", ""
"admin", "base", "Cordless Tool", "simple", "150", "MK9557NB", "0", "69", "", "1.0000", "", "", "Makita GRINDER 4-1/2" W/GUARD 9557NB", "", "", "", "", "default-url-key", "", "DEFAULT_MODEL", "No", "default-url-key.html", "", "Block after Info Column", "No layout updates", " ", "Use config", "Use config", "", "", "", "", "", "", "", "", "GRINDER 4-1/2" W/GUARD MK9557NB", "", "DEFAULT_SHORT_DESCRIPTION", "", "", "", "Disabled", "default", "Not Visible Individually", "Yes", "No", "No", "", "", "", "", "", "", "100.0000", "0.0000", "1", "0", "0", "1", "1.0000", "1", "0.0000", "1", "1", "", "0.0000", "1", "0", "1", "0", "1", "0.0000", "1", "0", "0", "1", "Default Name", "0", "simple", "", ""
"admin", "base", "Cordless Tool", "simple", "150", "MK9557PB", "0", "89.39", "", "1.0000", "", "", "Makita GRINDER - 4-1/2 W/GRD PDL 9557PB", "", "", "", "", "default-url-key", "", "DEFAULT_MODEL", "No", "default-url-key.html", "", "Block after Info Column", "No layout updates", " ", "Use config", "Use config", "", "", "", "", "", "", "", "", "GRINDER - 4-1/2 W/GRD PDL MK9557PB", "", "DEFAULT_SHORT_DESCRIPTION", "", "", "", "Disabled", "default", "Not Visible Individually", "Yes", "No", "No", "", "", "", "", "", "", "100.0000", "0.0000", "1", "0", "0", "1", "1.0000", "1", "0.0000", "1", "1", "", "0.0000", "1", "0", "1", "0", "1", "0.0000", "1", "0", "0", "1", "Default Name", "0", "simple", "", ""
"admin", "base", "Cordless Tool", "simple", "150", "MK9564CV", "0", "159", "", "1.0000", "", "", "Makita GRINDER 4-1/2" W/GUARD 9564CV", "", "", "", "", "default-url-key", "", "DEFAULT_MODEL", "No", "default-url-key.html", "", "Block after Info Column", "No layout updates", " ", "Use config", "Use config", "", "", "", "", "", "", "", "", "GRINDER 4-1/2" W/GUARD MK9564CV", "", "DEFAULT_SHORT_DESCRIPTION", "", "", "", "Disabled", "default", "Not Visible Individually", "Yes", "No", "No", "", "", "", "", "", "", "100.0000", "0.0000", "1", "0", "0", "1", "1.0000", "1", "0.0000", "1", "1", "", "0.0000", "1", "0", "1", "0", "1", "0.0000", "1", "0", "0", "1", "Default Name", "0", "simple", "", ""
